,raceId,driverId,pitStopNumber,pitStopLap,pitStopDuration,pitStopDurationInMilliseconds
0,841,153,1,1,26.898,26898
1,841,30,1,1,25.021,25021
2,841,17,1,11,23.426,23426
3,841,4,1,12,23.251,23251
4,841,13,1,13,23.842,23842
5,841,22,1,13,23.643,23643
6,841,20,1,14,22.603,22603
7,841,814,1,14,24.863,24863
8,841,816,1,14,25.259,25259
9,841,67,1,15,25.342,25342
10,841,2,1,15,22.994,22994
11,841,1,1,16,23.227,23227
12,841,808,1,16,24.535,24535
13,841,3,1,16,23.716,23716
14,841,155,1,16,24.064,24064
15,841,16,1,16,25.978,25978
16,841,15,1,16,24.899,24899
17,841,18,1,17,16.867,16867
18,841,153,2,17,24.463,24463
19,841,5,1,17,24.865,24865
20,841,30,2,17,23.988,23988
21,841,10,1,18,23.792,23792
22,841,18,2,19,23.303,23303
23,841,815,1,23,23.438,23438
24,841,22,2,23,37.856,37856
25,841,17,2,26,22.520,22520
26,841,4,2,27,24.733,24733
27,841,22,3,28,16.892,16892
28,841,67,2,29,23.100,23100
29,841,2,2,30,25.098,25098
30,841,13,2,31,24.500,24500
31,841,155,2,32,24.192,24192
32,841,20,2,36,24.036,24036
33,841,1,2,36,23.199,23199
34,841,153,3,35,26.348,26348
35,841,808,2,36,25.683,25683
36,841,814,2,36,24.332,24332
37,841,18,3,37,22.681,22681
38,841,16,2,37,23.871,23871
39,841,15,2,37,24.848,24848
40,841,816,2,38,26.446,26446
41,841,17,3,41,26.230,26230
42,841,22,4,40,26.309,26309
43,841,4,3,42,24.181,24181
44,841,13,3,48,24.095,24095
45,842,16,1,3,31.694,31694
46,842,22,1,3,32.978,32978
47,842,17,1,10,22.572,22572
48,842,814,1,11,22.773,22773
49,842,1,1,12,22.552,22552
50,842,20,1,13,23.019,23019
51,842,2,1,13,23.900,23900
52,842,18,1,13,22.400,22400
53,842,13,1,13,29.224,29224
54,842,15,1,13,25.516,25516
55,842,4,1,14,23.152,23152
56,842,30,1,14,22.576,22576
57,842,808,1,15,23.182,23182
58,842,67,1,15,23.280,23280
59,842,3,1,15,24.967,24967
60,842,5,1,15,29.084,29084
61,842,153,1,16,23.584,23584
62,842,16,2,16,22.046,22046
63,842,155,1,17,23.280,23280
64,842,815,1,17,23.597,23597
65,842,10,1,17,24.617,24617
66,842,816,1,17,26.252,26252
67,842,24,1,17,27.815,27815
68,842,22,2,17,24.502,24502
69,842,67,2,20,29.843,29843
70,842,17,2,22,21.991,21991
71,842,18,2,23,22.471,22471
72,842,1,2,24,22.611,22611
73,842,814,2,24,22.419,22419
74,842,20,2,25,21.893,21893
75,842,4,2,26,23.894,23894
76,842,2,2,26,23.221,23221
77,842,13,2,27,22.541,22541
78,842,808,2,27,22.680,22680
79,842,30,2,28,22.261,22261
80,842,3,2,29,22.577,22577
81,842,17,3,32,22.069,22069
82,842,153,2,32,22.888,22888
83,842,16,3,32,22.550,22550
84,842,67,3,32,27.439,27439
85,842,5,2,34,23.336,23336
86,842,10,2,34,24.429,24429
87,842,816,2,35,24.416,24416
88,842,155,2,36,23.442,23442
89,842,1,3,37,25.382,25382
90,842,814,3,37,23.977,23977
91,842,18,3,38,22.483,22483
92,842,13,3,38,22.893,22893
93,842,2,3,39,22.602,22602
94,842,24,2,38,26.554,26554
95,842,3,3,40,22.526,22526
96,842,20,3,41,22.313,22313
97,842,4,3,41,23.812,23812
98,842,30,3,42,22.227,22227
99,842,17,4,43,22.161,22161
100,842,808,3,44,28.694,28694
101,842,4,4,46,27.182,27182
102,842,24,3,44,38.823,38823
103,842,1,4,52,22.466,22466
104,843,153,1,9,22.419,22419
105,843,24,1,9,14.160,14160
106,843,30,1,10,20.522,20522
107,843,17,1,10,23.442,23442
108,843,813,1,10,23.160,23160
109,843,814,1,11,21.989,21989
110,843,3,1,12,20.771,20771
111,843,67,1,12,22.010,22010
112,843,18,1,14,23.779,23779
113,843,20,1,14,21.995,21995
114,843,155,1,14,21.855,21855
115,843,13,1,15,21.624,21624
116,843,1,1,15,20.878,20878
117,843,16,1,15,20.989,20989
118,843,4,1,16,22.524,22524
119,843,815,1,16,21.473,21473
120,843,22,1,16,21.709,21709
121,843,67,2,16,24.722,24722
122,843,10,1,16,22.683,22683
123,843,808,1,17,21.981,21981
124,843,2,1,18,22.216,22216
125,843,5,1,19,22.485,22485
126,843,15,1,20,23.029,23029
127,843,816,1,20,22.901,22901
128,843,24,2,21,24.467,24467
129,843,39,1,23,26.049,26049
130,843,18,2,24,20.758,20758
131,843,3,2,25,22.005,22005
132,843,1,2,25,20.533,20533
133,843,17,2,25,21.132,21132
134,843,813,2,25,22.062,22062
135,843,30,2,26,21.964,21964
136,843,10,2,28,21.908,21908
137,843,16,2,30,21.058,21058
138,843,155,2,30,21.936,21936
139,843,2,2,30,21.821,21821
140,843,20,2,31,21.533,21533
